CustomerID,AddressID,PolicyNumber,Customer_Name,Age,Phone_Number,Gender
2284760,E567,RAEIKGJS,David Lee,42,0769887579,Male
2895234,H890,531JCN2X,Grace Johnson,30,0777010793,Male
3072403,A123,WVZBD2VF,Henry Lee,23,0767376346,Prefer not to say
3185629,F678,6FBZJICG,Frank Lopez,51,0742877244,Male
2324231,D456,QA8HAJQ8,Henry Lee,33,0788718790,Male
3283082,D456,TIFDV99R,Emma Hill,43,0701858448,Prefer not to say
3256682,E567,L4BU8KWR,Grace Lee,61,0707475702,Prefer not to say
3264149,C345,AMENWWYM,Emma Davis,18,0777552081,Female
2314445,I901,RYRZWAS1,Henry Davis,48,0760446552,Male
2804510,B234,2CVQ65NT,Bob Hill,18,0730471887,Female
2486626,C345,V6CW5SNR,Bob Davis,60,0727469398,Prefer not to say
3173652,F678,ZN5JZQOZ,Bob Martinez,59,0783814583,Male
2745279,E567,381G5IUG,Alice Smith,27,0761384216,Prefer not to say
3216796,A123,260M0LGW,Ivy Martinez,59,0775963440,Female
2964713,A123,HFEJBRE7,Grace Hill,58,0711546554,Male
2509882,B234,A0W77TOY,Bob Martinez,55,0779114969,Prefer not to say
2823728,A123,1JIEMITM,Jack Martinez,54,0713460589,Male
2606152,E567,VGVBSU9F,Emma Smith,33,0760369823,Female
2925886,J012,YYDKOWX9,Alice Martinez,54,0736010041,Other
3126303,B234,MG72WMXP,Charlie Jackson,36,0744225828,Prefer not to say
2537614,C345,R842HTB9,Henry Martinez,46,0743873488,Female
2708290,B234,O0FVMZNG,Charlie Lopez,46,0712037779,Other
2438243,C345,IUM19KME,Emma Martinez,59,0722448051,Other
3047230,A123,NTNBGOC1,Ivy Johnson,46,0799154393,Prefer not to say
2953529,B234,KF0A956A,Grace Garcia,49,0762462316,Male
2824538,C345,CQK4E809,Jack Jackson,49,0703251824,Other
2904648,F678,GH6JYBAY,David Martinez,43,0779415613,Male
2240892,J012,COX7OC4X,Ivy Jackson,49,0759052663,Prefer not to say
2952696,C345,6MUV7YEL,Emma Smith,51,0704127501,Other
2941107,E567,WDH7GLCH,Henry Davis,48,0729055041,Female
3075387,I901,G03GV7WY,Grace Lopez,29,0753546122,Female
2848471,A123,SYDG356N,Emma Garcia,65,0769790141,Female
2519910,E567,1IHZC4T4,Jack Lopez,25,0782526609,Other
2300752,G789,IEK739TU,Jack Johnson,57,0773858639,Male
2373424,I901,UBM7X05F,Jack Johnson,48,0724091963,Other
2720565,E567,94STNLVH,Bob Lee,39,0756170893,Other
2871397,J012,O21FA20F,Charlie Brown,30,0768760649,Prefer not to say
2941267,C345,DIT8SLEB,Henry Martinez,40,0739817451,Female
2231623,E567,698C4SGM,David Jackson,60,0735492445,Male
3053144,F678,9IXB1W5A,Grace Johnson,43,0760073409,Female
2218530,I901,NREJQYH0,Jack Martinez,41,0792734935,Prefer not to say
2795968,J012,HKBDT7GY,Charlie Johnson,51,0789933999,Male
2372707,G789,RE4EKEZX,Alice Lee,29,0704598290,Female
2570180,C345,H3EJ9HO7,Henry Garcia,51,0789282635,Male
2275177,G789,ITMMW56V,David Jackson,56,0750544527,Other
3047779,C345,DP12JLIV,Grace Smith,25,0713488773,Male
2362430,D456,AGR97O7P,Grace Johnson,20,0719442027,Prefer not to say
2642815,E567,4GGZJL72,Bob Hill,40,0799190273,Prefer not to say
2663854,D456,WBXJAKMY,Grace Smith,42,0735524515,Male
2322250,D456,56HJSVY5,Emma Smith,23,0702947015,Male
3035418,E567,L2TNLIA9,David Garcia,39,0724065375,Other
2993352,C345,0S1W5F6Z,Charlie Lopez,32,0737013952,Prefer not to say
2784093,H890,DFIZ7RPS,Alice Garcia,46,0713127676,Male
2727255,H890,3M460QSU,Henry Garcia,60,0706473020,Female
2409052,F678,10WL3Z0W,Emma Brown,24,0733361599,Prefer not to say
3043683,F678,7A676WVX,Henry Johnson,28,0788240250,Other
3118678,B234,REYL6LMR,Ivy Jackson,35,0717234422,Female
3270441,D456,1O1TKULH,David Jackson,46,0754364025,Male
2727934,B234,Q5A17Z81,Jack Lee,55,0754609670,Prefer not to say
2356248,I901,CQIDMEOT,David Martinez,23,0702179571,Male
3276277,H890,F8547Y2L,Grace Davis,48,0747754408,Female
2994957,F678,16IPHWJ1,Bob Martinez,59,0717069283,Other
2917727,I901,ZZG799JX,Ivy Brown,43,0737142059,Prefer not to say
2293633,C345,9YLA8TCH,Ivy Davis,45,0731915678,Male
3188340,C345,LZRYQU6F,Charlie Hill,41,0715646656,Prefer not to say
2251474,C345,PIVHGBQ7,Emma Smith,62,0709052214,Female
2991735,H890,ZBHARLP7,Alice Martinez,32,0793336504,Prefer not to say
2324116,C345,594EPU20,Alice Garcia,22,0703052096,Female
2327484,H890,QKKSN16V,Jack Johnson,22,0777739982,Prefer not to say
2773686,E567,HKQ470LF,Henry Smith,58,0723115303,Other
3012232,B234,T90JG709,Alice Garcia,64,0796741690,Male
2736985,B234,3VSX6LX2,Frank Lopez,40,0710376987,Prefer not to say
2520971,J012,NW666FD6,Alice Lopez,30,0787952255,Other
2924068,J012,O9GTS8EO,Bob Johnson,60,0799143299,Male
2512648,E567,2YFRGUP1,David Martinez,42,0743242339,Male
2698834,B234,75MNH288,Alice Lopez,35,0726951550,Female
3124775,I901,FK0957GK,David Hill,49,0746084391,Male
3019466,B234,016JCLKF,Frank Brown,25,0743173354,Female
3019676,B234,284MUXUI,Grace Garcia,34,0725186287,Prefer not to say
2407637,B234,29DY3W96,Grace Brown,42,0775585098,Other
2661155,G789,VRWW4IKW,David Davis,38,0772842810,Other
2992339,I901,JZRKEVRX,Ivy Hill,22,0770521476,Female
2422712,F678,KO42LXAW,Grace Johnson,53,0795629541,Male
3125070,E567,C80PF7YJ,David Brown,22,0766394124,Female
2745780,C345,D7OXE5MO,Charlie Lopez,55,0723735262,Female
2250270,F678,HY5IYXXS,Jack Jackson,30,0760652151,Male
3198116,F678,BCSV0CQZ,Grace Martinez,58,0776188417,Male
2275800,C345,H9Q663QA,Alice Lopez,62,0742517497,Other
2293408,D456,4CCEBLKS,Ivy Johnson,64,0715792285,Other
2305901,J012,EDJC7LSD,Henry Brown,33,0747388083,Prefer not to say
2695250,A123,AKWEE18L,Emma Johnson,65,0777244219,Female
3127339,I901,C8WCE0V4,Grace Garcia,38,0715318784,Prefer not to say
3021831,I901,0FWJLSLT,Charlie Johnson,19,0760828308,Other
2906027,I901,NO167HHM,Emma Garcia,62,0737687147,Female
2564732,F678,Z85UQLON,Bob Davis,53,0706420156,Prefer not to say
2416504,E567,2MXBJANM,David Garcia,65,0702150772,Female
3005178,F678,AX34OQL3,Frank Brown,55,0760687169,Other
3264642,G789,MIMIC8GY,Bob Jackson,22,0747763119,Prefer not to say
3203894,B234,RIB7FVZZ,Frank Davis,38,0792543090,Prefer not to say
3192725,D456,BCNEHKOP,Frank Jackson,45,0797020928,Other
3254032,J012,ONQG8TYL,Emma Brown,34,0781336865,Other
2906114,E567,W3CQCPP5,Ivy Lee,39,0787690879,Prefer not to say
2416506,E567,JEMOOAP3,Grace Smith,48,0796240698,Prefer not to say
2449197,C345,01T7GFH0,Henry Davis,54,0727995053,Other
3228813,I901,UN9WLAV4,Henry Johnson,42,0729955505,Prefer not to say
2818595,F678,C74K3C0S,Jack Smith,55,0748509980,Female
3100731,E567,ZGW6SFIW,Henry Martinez,46,0793417902,Prefer not to say
2535814,D456,KSOM7BE6,Grace Hill,59,0789577019,Prefer not to say
2639201,I901,4SB07W62,Frank Hill,50,0776076274,Male
3052625,F678,6991NSBT,Henry Hill,21,0713544081,Male
2783532,A123,5K62V331,Frank Jackson,35,0709024257,Prefer not to say
3054616,E567,YUS3M3EL,Henry Smith,60,0783778102,Prefer not to say
